Periode_laporan,org,sector,kategory_ub,saluran_umpan_balik,status,Kabupaten/kota,Kecamatan,Desa/posko/huntara,LAT,LON
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Hunian & non pangan,Permintaan Bantuan,Telepon/Hotline,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Hunian & non pangan,Permintaan Bantuan,Telepon/Hotline,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Hunian & non pangan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Kulawi,,-1.511248,119.882325
Mar/19,STC,Pangan dan Penghidupan,Ucapan Terima Kasih,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Informasi/laporan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
Mar/19,STC,Pangan dan Penghidupan,Permintaan Bantuan,Kotak Saran,Selesai,Sigi,Lindu,,-1.3587224,120.138132
